plot_id,center_lon,center_lat,size_m,shape,sample_points,email,flagged,flagged_reason,collection_time,analysis_duration,common_securewatch_date,total_securewatch_dates,pl_plotid,pl_cluster,Oil Palm?:Yes,Oil Palm?:Yes,Oil Palm?:No,Oil Palm?:Not Sure
140884433,-75.04554494,-8.321900334,square,1000,1,e556bc3a@email.com,TRUE,Deforested land,2021-07-09T14:24:00Z,116.5 secs,NA,0,1,1,0,0,0,0
140884434,-74.88479158,-8.344409262,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-09T14:24:00Z,11.3 secs,NA,0,2,1,0,0,100,0
140884435,-74.34256552,-8.836094171,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-09T14:25:00Z,6.9 secs,NA,0,3,0,0,0,100,0
140884436,-75.0313774,-8.321630342,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-09T14:39:00Z,847.7 secs,NA,0,4,1,100,0,0,0
140884437,-71.73680821,-10.94894284,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-09T14:39:00Z,4.7 secs,NA,0,5,0,0,0,100,0
140884438,-74.39339112,-8.950685184,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-09T14:39:00Z,3.5 secs,NA,0,6,0,0,0,100,0
140884439,-74.01908928,-9.795282361,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-09T14:39:00Z,5.8 secs,NA,0,7,0,0,0,100,0
140884440,-74.91605994,-8.645354971,square,1000,1,e556bc3a@email.com,TRUE,Edge Points,2021-07-09T14:39:00Z,30.8 secs,NA,0,8,1,0,0,0,0
140884441,-74.71677621,-8.63109159,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T14:45:00Z,4.9 secs,NA,0,9,11,100,0,0,0
140884442,-73.23254214,-10.29845621,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T14:45:00Z,6.9 secs,NA,0,10,0,0,0,100,0
140884443,-74.80296923,-8.258111563,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T14:47:00Z,137.9 secs,NA,0,11,11,0,0,0,100
140884444,-71.2654487,-10.07891094,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T14:48:00Z,2.9 secs,NA,0,12,0,0,0,100,0
140884445,-74.49312892,-8.854508012,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T14:48:00Z,2.9 secs,NA,0,13,0,0,0,100,0
140884446,-74.92044629,-8.532742183,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T14:48:00Z,4.4 secs,NA,0,14,1,0,100,0,0
140884447,-74.94258359,-8.144155775,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-16T14:58:00Z,5.9 secs,NA,0,15,1,0,100,0,0
140884448,-74.647283,-8.55484104,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T14:48:00Z,3.3 secs,NA,0,16,1,0,0,100,0
140884449,-74.09745183,-9.223300689,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T14:48:00Z,2.7 secs,NA,0,17,0,0,0,100,0
140884450,-74.00877512,-10.48190407,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T14:48:00Z,2.2 secs,NA,0,18,1,0,0,100,0
140884451,-71.46032543,-10.80123116,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T14:48:00Z,2.4 secs,NA,0,19,0,0,0,100,0
140884452,-74.63474939,-8.548045566,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T14:48:00Z,1.5 secs,NA,0,20,1,0,0,100,0
140884453,-74.89982303,-8.162871603,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-16T14:58:00Z,4.5 secs,NA,0,21,1,0,100,0,0
140884454,-74.21428861,-8.058469747,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T14:48:00Z,3.4 secs,NA,0,22,1,0,0,100,0
140884455,-74.81598067,-8.076819896,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T14:48:00Z,2.1 secs,NA,0,23,1,0,0,100,0
140884456,-72.17988241,-10.57041611,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T14:48:00Z,1.7 secs,NA,0,24,0,0,0,100,0
140884457,-75.02708854,-8.705667275,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-09T14:45:00Z,24.4 secs,NA,0,25,11,0,0,100,0
140884458,-72.53198805,-10.69698516,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-09T14:45:00Z,5.1 secs,NA,0,26,0,0,0,100,0
140884459,-71.78400651,-10.66199423,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-09T14:45:00Z,5.7 secs,NA,0,27,0,0,0,100,0
140884460,-75.33051015,-8.619985678,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-09T14:46:00Z,53.0 secs,NA,0,28,0,0,0,100,0
140884461,-74.22844151,-10.87752935,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-09T14:46:00Z,5.1 secs,NA,0,29,0,0,0,100,0
140884462,-74.7075296,-8.190457194,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-09T14:46:00Z,5.8 secs,NA,0,30,1,0,0,100,0
140884463,-72.92166584,-9.925652343,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-09T14:46:00Z,5.4 secs,NA,0,31,0,0,0,100,0
140884464,-73.96114978,-8.758178663,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-09T14:47:00Z,15.4 secs,NA,0,32,0,0,0,100,0
140884465,-74.62326758,-8.00884775,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-09T14:47:00Z,20.2 secs,NA,0,33,1,0,0,100,0
140884466,-71.45503347,-10.47724641,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-09T14:47:00Z,27.5 secs,NA,0,34,0,0,0,100,0
140884467,-74.24724738,-8.619390282,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T14:48:00Z,2.1 secs,NA,0,35,0,0,0,100,0
140884468,-72.62445814,-9.955126948,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T14:48:00Z,1.7 secs,NA,0,36,0,0,0,100,0
140884469,-73.80185098,-9.504308699,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T14:48:00Z,1.6 secs,NA,0,37,0,0,0,100,0
140884470,-74.91725255,-8.165046453,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-16T14:58:00Z,5.6 secs,NA,0,38,1,0,100,0,0
140884471,-73.36131083,-9.047104255,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T14:57:00Z,481.4 secs,NA,0,39,0,0,0,100,0
140884472,-72.42033483,-11.24579939,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T14:57:00Z,2.4 secs,NA,0,40,0,0,0,100,0
140884473,-71.67408274,-10.87024748,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T14:57:00Z,1.5 secs,NA,0,41,0,0,0,100,0
140884474,-74.61241031,-8.533642125,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T14:57:00Z,1.3 secs,NA,0,42,1,0,0,100,0
140884475,-75.00889825,-8.667323619,square,1000,1,e556bc3a@email.com,TRUE,Egde,2021-07-12T14:57:00Z,6.3 secs,NA,0,43,11,0,0,0,0
140884476,-73.87670167,-8.258456415,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T14:57:00Z,8.3 secs,NA,0,44,0,0,0,100,0
140884477,-74.94094682,-8.163151052,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-16T14:59:00Z,9.2 secs,NA,0,45,1,0,100,0,0
140884478,-75.5798389,-8.521463146,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T15:01:00Z,6.8 secs,NA,0,46,1,0,0,100,0
140884479,-73.36659892,-9.084559847,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-12T15:01:00Z,3.0 secs,NA,0,47,0,0,0,100,0
140884480,-73.8987153,-9.292200279,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-14T16:37:00Z,4.5 secs,NA,0,48,0,0,0,100,0
140884481,-73.87629023,-9.041177587,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-14T16:38:00Z,4.6 secs,NA,0,49,0,0,0,100,0
140884482,-74.24758593,-8.304639036,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-14T16:38:00Z,2.9 secs,NA,0,50,1,0,0,100,0
140884483,-73.95721368,-10.24219114,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-14T16:38:00Z,2.5 secs,NA,0,51,1,0,0,100,0
140884484,-74.00987068,-10.48217877,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-13T17:01:00Z,1910.5 secs,NA,0,52,1,0,0,100,0
140884485,-73.32485199,-9.597551044,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-13T17:01:00Z,4.9 secs,NA,0,53,0,0,0,0,100
140884486,-74.75175627,-8.020070997,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-13T17:01:00Z,4.7 secs,NA,0,54,1,0,0,100,0
140884487,-74.36937388,-8.294810685,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-13T17:01:00Z,3.7 secs,NA,0,55,1,0,0,100,0
140884488,-74.60863506,-8.49320665,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-13T17:01:00Z,4.6 secs,NA,0,56,1,0,0,100,0
140884489,-74.21457422,-8.859182359,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-13T17:01:00Z,2.5 secs,NA,0,57,0,0,0,100,0
140884490,-74.50013939,-9.114192742,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-13T17:01:00Z,2.7 secs,NA,0,58,1,0,0,100,0
140884491,-74.63640403,-8.527966922,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-13T17:01:00Z,2.4 secs,NA,0,59,1,0,0,100,0
140884492,-70.69243509,-9.844342032,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-13T17:01:00Z,2.8 secs,NA,0,60,0,0,0,100,0
140884493,-74.95347327,-8.17482135,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-14T16:38:00Z,3.5 secs,NA,0,61,1,0,100,0,0
140884494,-73.73170825,-8.458783677,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-13T17:02:00Z,4.1 secs,NA,0,62,0,0,0,100,0
140884495,-75.69966963,-8.906293563,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-14T13:28:00Z,73582.0 secs,NA,0,63,0,0,0,100,0
140884496,-74.12302132,-10.00501708,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-14T13:28:00Z,4.8 secs,NA,0,64,0,0,0,100,0
140884497,-75.05949281,-8.664897292,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-14T13:28:00Z,5.3 secs,NA,0,65,0,0,0,100,0
140884498,-74.50799376,-8.959538165,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-14T13:28:00Z,2.8 secs,NA,0,66,1,0,0,100,0
140884499,-74.56408199,-9.067603806,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-14T13:28:00Z,2.6 secs,NA,0,67,0,0,0,100,0
140884500,-73.92102495,-9.320212502,square,1000,1,e556bc3a@email.com,FALSE,NA,2021-07-14T13:28:00Z,3.4 secs,NA,0,68,0,0,0,100,0
