"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle"
"S1B_IW_GRDH_1SDV_20181227T102208_20181227T102233_014226_01A729_F54D","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","14226","25","631","2018-12-27T10:22:33.000000","2018-12-27T10:22:08.000000","GRD_HD","2018-12-27T10:22:08.000000","2018-12-27T10:22:33.000000","-11.8792","-71.8394","-11.386636","-70.513351","-10.864137","-72.802452","-12.892172","-70.870483","-12.363948","-73.170486","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20181227T102208_20181227T102233_014226_01A729_F54D.zip","1045.3316774368286","None","None","0","S1B_IWDV_0631_0636_014226_025",""
"S1B_IW_GRDH_1SDV_20181227T102143_20181227T102208_014226_01A729_01E1","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","14226","25","626","2018-12-27T10:22:08.000000","2018-12-27T10:21:43.000000","GRD_HD","2018-12-27T10:21:43.000000","2018-12-27T10:22:08.000000","-10.3745","-71.4847","-9.877699","-70.172562","-9.36094","-72.451111","-11.386546","-70.513336","-10.864275","-72.801453","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20181227T102143_20181227T102208_014226_01A729_01E1.zip","1037.6806631088257","None","None","0","S1B_IWDV_0626_0631_014226_025",""
"S1B_IW_GRDH_1SDV_20181227T102118_20181227T102143_014226_01A729_13A4","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","14226","25","621","2018-12-27T10:21:43.000000","2018-12-27T10:21:18.000000","GRD_HD","2018-12-27T10:21:18.000000","2018-12-27T10:21:43.000000","-8.8676","-71.1419","-8.367802","-69.837646","-7.856601","-72.107277","-9.877609","-70.172546","-9.361055","-72.450203","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20181227T102118_20181227T102143_014226_01A729_13A4.zip","1036.4444417953491","None","None","0","S1B_IWDV_0621_0626_014226_025",""
"S1B_IW_GRDH_1SDV_20181220T103004_20181220T103029_014124_01A3D5_519B","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","14124","98","627","2018-12-20T10:30:29.000000","2018-12-20T10:30:04.000000","GRD_HD","2018-12-20T10:30:04.000000","2018-12-20T10:30:29.000000","-10.7833","-73.6336","-10.288869","-72.31189","-9.768875","-74.60096","-11.795927","-72.661034","-11.270331","-74.960022","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20181220T103004_20181220T103029_014124_01A3D5_519B.zip","1052.2795963287354","None","None","0","S1B_IWDV_0627_0632_014124_098",""
"S1B_IW_GRDH_1SDV_20181215T102209_20181215T102234_014051_01A15B_A044","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","14051","25","631","2018-12-15T10:22:34.000000","2018-12-15T10:22:09.000000","GRD_HD","2018-12-15T10:22:09.000000","2018-12-15T10:22:34.000000","-11.8793","-71.8382","-11.386679","-70.512329","-10.864146","-72.801514","-12.892313","-70.869003","-12.364063","-73.169075","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20181215T102209_20181215T102234_014051_01A15B_A044.zip","1043.4349241256714","None","None","0","S1B_IWDV_0631_0636_014051_025",""
"S1B_IW_GRDH_1SDV_20181215T102144_20181215T102209_014051_01A15B_A526","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","14051","25","626","2018-12-15T10:22:09.000000","2018-12-15T10:21:44.000000","GRD_HD","2018-12-15T10:21:44.000000","2018-12-15T10:22:09.000000","-10.3746","-71.4837","-9.877755","-70.171494","-9.360963","-72.450127","-11.38659","-70.512306","-10.864285","-72.800514","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20181215T102144_20181215T102209_014051_01A15B_A526.zip","1029.6523170471191","None","None","0","S1B_IWDV_0626_0631_014051_025",""
"S1B_IW_GRDH_1SDV_20181215T102119_20181215T102144_014051_01A15B_F272","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","14051","25","621","2018-12-15T10:21:44.000000","2018-12-15T10:21:19.000000","GRD_HD","2018-12-15T10:21:19.000000","2018-12-15T10:21:44.000000","-8.8677","-71.1409","-8.367855","-69.836609","-7.856643","-72.106232","-9.877666","-70.171471","-9.361098","-72.449127","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20181215T102119_20181215T102144_014051_01A15B_F272.zip","1028.6752882003784","None","None","0","S1B_IWDV_0621_0626_014051_025",""
"S1B_IW_GRDH_1SDV_20181208T103005_20181208T103030_013949_019E19_D5FA","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","13949","98","627","2018-12-08T10:30:30.000000","2018-12-08T10:30:05.000000","GRD_HD","2018-12-08T10:30:05.000000","2018-12-08T10:30:30.000000","-10.7833","-73.6341","-10.288912","-72.312332","-9.768903","-74.601494","-11.795971","-72.661469","-11.270359","-74.960541","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20181208T103005_20181208T103030_013949_019E19_D5FA.zip","1052.797763824463","None","None","0","S1B_IWDV_0627_0632_013949_098",""
"S1B_IW_GRDH_1SDV_20181203T102209_20181203T102234_013876_019BA5_A2EA","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","13876","25","631","2018-12-03T10:22:34.000000","2018-12-03T10:22:09.000000","GRD_HD","2018-12-03T10:22:09.000000","2018-12-03T10:22:34.000000","-11.8794","-71.8385","-11.386799","-70.512566","-10.864305","-72.801758","-12.892414","-70.869308","-12.364203","-73.169388","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20181203T102209_20181203T102234_013876_019BA5_A2EA.zip","1043.4678764343262","None","None","0","S1B_IWDV_0631_0636_013876_025",""
"S1B_IW_GRDH_1SDV_20181203T102144_20181203T102209_013876_019BA5_2E1F","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","13876","25","626","2018-12-03T10:22:09.000000","2018-12-03T10:21:44.000000","GRD_HD","2018-12-03T10:21:44.000000","2018-12-03T10:22:09.000000","-10.3747","-71.484","-9.877871","-70.171761","-9.361118","-72.450401","-11.386709","-70.512543","-10.864444","-72.800758","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20181203T102144_20181203T102209_013876_019BA5_2E1F.zip","1030.701919555664","None","None","0","S1B_IWDV_0626_0631_013876_025",""
