"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle"
"S1B_IW_GRDH_1SDV_20190929T102216_20190929T102241_018251_0225E0_94D3","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","18251","25","631","2019-09-29T10:22:41.000000","2019-09-29T10:22:16.000000","GRD_HD","2019-09-29T10:22:16.000000","2019-09-29T10:22:41.000000","-11.8796","-71.8386","-11.386964","-70.51255","-10.864455","-72.801933","-12.892632","-70.86927","-12.364407","-73.169533","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20190929T102216_20190929T102241_018251_0225E0_94D3.zip","1038.989233970642","None","None","0","S1B_IWDV_0631_0636_018251_025",""
"S1B_IW_GRDH_1SDV_20190929T102151_20190929T102216_018251_0225E0_0EE2","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","18251","25","626","2019-09-29T10:22:16.000000","2019-09-29T10:21:51.000000","GRD_HD","2019-09-29T10:21:51.000000","2019-09-29T10:22:16.000000","-10.3749","-71.4841","-9.878073","-70.171799","-9.361303","-72.450623","-11.386876","-70.512527","-10.864594","-72.800934","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20190929T102151_20190929T102216_018251_0225E0_0EE2.zip","1026.1943140029907","None","None","0","S1B_IWDV_0626_0631_018251_025",""
"S1B_IW_GRDH_1SDV_20190929T102126_20190929T102151_018251_0225E0_CBD3","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","18251","25","621","2019-09-29T10:21:51.000000","2019-09-29T10:21:26.000000","GRD_HD","2019-09-29T10:21:26.000000","2019-09-29T10:21:51.000000","-8.868","-71.1414","-8.368202","-69.83699","-7.856992","-72.106895","-9.877982","-70.171776","-9.361418","-72.449715","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20190929T102126_20190929T102151_018251_0225E0_CBD3.zip","1022.6587715148926","None","None","0","S1B_IWDV_0621_0626_018251_025",""
"S1B_IW_GRDH_1SDV_20190927T103801_20190927T103826_018222_0224FD_CEFA","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","18222","171","622","2019-09-27T10:38:26.000000","2019-09-27T10:38:01.000000","GRD_HD","2019-09-27T10:38:01.000000","2019-09-27T10:38:26.000000","-9.2853","-75.3334","-8.787963","-74.019051","-8.272425","-76.30426","-10.296824","-74.358299","-9.775872","-76.651947","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20190927T103801_20190927T103826_018222_0224FD_CEFA.zip","1038.594931602478","None","None","0","S1B_IWDV_0622_0627_018222_171",""
"S1B_IW_GRDH_1SDV_20190927T103736_20190927T103801_018222_0224FD_C26A","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","18222","171","617","2019-09-27T10:38:01.000000","2019-09-27T10:37:36.000000","GRD_HD","2019-09-27T10:37:36.000000","2019-09-27T10:38:01.000000","-7.7779","-74.9943","-7.277237","-73.688805","-6.76716","-75.966148","-8.787873","-74.019028","-8.272538","-76.303352","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20190927T103736_20190927T103801_018222_0224FD_C26A.zip","1028.245262145996","None","None","0","S1B_IWDV_0617_0622_018222_171",""
"S1B_IW_GRDH_1SDV_20190922T103011_20190922T103036_018149_0222D7_B7B4","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","18149","98","627","2019-09-22T10:30:36.000000","2019-09-22T10:30:11.000000","GRD_HD","2019-09-22T10:30:11.000000","2019-09-22T10:30:36.000000","-10.7833","-73.6339","-10.289","-72.312004","-9.768886","-74.601418","-11.796061","-72.661148","-11.270343","-74.96048","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20190922T103011_20190922T103036_018149_0222D7_B7B4.zip","1046.255537033081","None","None","0","S1B_IWDV_0627_0632_018149_098",""
"S1B_IW_GRDH_1SDV_20190922T102946_20190922T103011_018149_0222D7_1E41","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","18149","98","622","2019-09-22T10:30:11.000000","2019-09-22T10:29:46.000000","GRD_HD","2019-09-22T10:29:46.000000","2019-09-22T10:30:11.000000","-9.2777","-73.2853","-8.779654","-71.97419","-8.265175","-74.254189","-10.28891","-72.311981","-9.769022","-74.600426","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20190922T102946_20190922T103011_018149_0222D7_1E41.zip","1028.645359992981","None","None","0","S1B_IWDV_0622_0627_018149_098",""
"S1B_IW_GRDH_1SDV_20190922T102921_20190922T102946_018149_0222D7_0E29","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","18149","98","617","2019-09-22T10:29:46.000000","2019-09-22T10:29:21.000000","GRD_HD","2019-09-22T10:29:21.000000","2019-09-22T10:29:46.000000","-7.7704","-72.9458","-7.269502","-71.641907","-6.760485","-73.914116","-8.779564","-71.974174","-8.265288","-74.253281","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20190922T102921_20190922T102946_018149_0222D7_0E29.zip","1027.8173913955688","None","None","0","S1B_IWDV_0617_0622_018149_098",""
"S1B_IW_GRDH_1SDV_20190917T102216_20190917T102241_018076_02207C_A70B","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","18076","25","631","2019-09-17T10:22:41.000000","2019-09-17T10:22:16.000000","GRD_HD","2019-09-17T10:22:16.000000","2019-09-17T10:22:41.000000","-11.8795","-71.8379","-11.386918","-70.511856","-10.864349","-72.801315","-12.892608","-70.868492","-12.364321","-73.168846","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20190917T102216_20190917T102241_018076_02207C_A70B.zip","1039.0311069488525","None","None","0","S1B_IWDV_0631_0636_018076_025",""
"S1B_IW_GRDH_1SDV_20190917T102151_20190917T102216_018076_02207C_67DD","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","18076","25","626","2019-09-17T10:22:16.000000","2019-09-17T10:21:51.000000","GRD_HD","2019-09-17T10:21:51.000000","2019-09-17T10:22:16.000000","-10.3748","-71.4834","-9.878026","-70.171082","-9.361197","-72.449989","-11.386827","-70.511833","-10.864488","-72.800316","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20190917T102151_20190917T102216_018076_02207C_67DD.zip","1027.2042589187622","None","None","0","S1B_IWDV_0626_0631_018076_025",""
"S1B_IW_GRDH_1SDV_20190917T102126_20190917T102151_018076_02207C_DE89","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","18076","25","621","2019-09-17T10:21:51.000000","2019-09-17T10:21:26.000000","GRD_HD","2019-09-17T10:21:26.000000","2019-09-17T10:21:51.000000","-8.868","-71.1406","-8.368156","-69.836258","-7.856908","-72.106155","-9.877936","-70.171059","-9.361332","-72.448997","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20190917T102126_20190917T102151_018076_02207C_DE89.zip","1024.8853979110718","None","None","0","S1B_IWDV_0621_0626_018076_025",""
"S1B_IW_GRDH_1SDV_20190915T103800_20190915T103825_018047_021F98_B89F","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","18047","171","622","2019-09-15T10:38:25.000000","2019-09-15T10:38:00.000000","GRD_HD","2019-09-15T10:38:00.000000","2019-09-15T10:38:25.000000","-9.2853","-75.3324","-8.787929","-74.01799","-8.272373","-76.303192","-10.296877","-74.357262","-9.775908","-76.650909","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20190915T103800_20190915T103825_018047_021F98_B89F.zip","1041.1768016815186","None","None","0","S1B_IWDV_0622_0627_018047_171",""
"S1B_IW_GRDH_1SDV_20190915T103735_20190915T103800_018047_021F98_89D5","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","18047","171","617","2019-09-15T10:38:00.000000","2019-09-15T10:37:35.000000","GRD_HD","2019-09-15T10:37:35.000000","2019-09-15T10:38:00.000000","-7.7779","-74.9932","-7.277294","-73.687759","-6.7672","-75.965103","-8.787839","-74.017967","-8.272487","-76.302292","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20190915T103735_20190915T103800_018047_021F98_89D5.zip","1035.8943977355957","None","None","0","S1B_IWDV_0617_0622_018047_171",""
"S1B_IW_GRDH_1SDV_20190910T103011_20190910T103036_017974_021D74_B4D4","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17974","98","627","2019-09-10T10:30:36.000000","2019-09-10T10:30:11.000000","GRD_HD","2019-09-10T10:30:11.000000","2019-09-10T10:30:36.000000","-10.7834","-73.6341","-10.288999","-72.312248","-9.768916","-74.601578","-11.796062","-72.661377","-11.270377","-74.960617","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20190910T103011_20190910T103036_017974_021D74_B4D4.zip","1042.3842658996582","None","None","0","S1B_IWDV_0627_0632_017974_098",""
"S1B_IW_GRDH_1SDV_20190910T102946_20190910T103011_017974_021D74_806C","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17974","98","622","2019-09-10T10:30:11.000000","2019-09-10T10:29:46.000000","GRD_HD","2019-09-10T10:29:46.000000","2019-09-10T10:30:11.000000","-9.2777","-73.2855","-8.77974","-71.974464","-8.265293","-74.254379","-10.288909","-72.312225","-9.769053","-74.600578","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20190910T102946_20190910T103011_017974_021D74_806C.zip","1024.73140335083","None","None","0","S1B_IWDV_0622_0627_017974_098",""
"S1B_IW_GRDH_1SDV_20190910T102921_20190910T102946_017974_021D74_9BD7","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17974","98","617","2019-09-10T10:29:46.000000","2019-09-10T10:29:21.000000","GRD_HD","2019-09-10T10:29:21.000000","2019-09-10T10:29:46.000000","-7.7704","-72.946","-7.269496","-71.642181","-6.76051","-73.914299","-8.779651","-71.974449","-8.265406","-74.253471","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20190910T102921_20190910T102946_017974_021D74_9BD7.zip","1026.026216506958","None","None","0","S1B_IWDV_0617_0622_017974_098",""
"S1B_IW_GRDH_1SDV_20190905T102215_20190905T102240_017901_021B05_972C","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17901","25","631","2019-09-05T10:22:40.000000","2019-09-05T10:22:15.000000","GRD_HD","2019-09-05T10:22:15.000000","2019-09-05T10:22:40.000000","-11.8794","-71.8386","-11.386882","-70.51255","-10.864292","-72.80201","-12.892466","-70.869286","-12.36416","-73.169617","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20190905T102215_20190905T102240_017901_021B05_972C.zip","1039.836630821228","None","None","0","S1B_IWDV_0631_0636_017901_025",""
"S1B_IW_GRDH_1SDV_20190905T102150_20190905T102215_017901_021B05_0F38","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17901","25","626","2019-09-05T10:22:15.000000","2019-09-05T10:21:50.000000","GRD_HD","2019-09-05T10:21:50.000000","2019-09-05T10:22:15.000000","-10.3748","-71.4841","-9.877983","-70.171768","-9.361134","-72.450668","-11.386792","-70.512535","-10.86443","-72.80101","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20190905T102150_20190905T102215_017901_021B05_0F38.zip","1033.7623672485352","None","None","0","S1B_IWDV_0626_0631_017901_025",""
"S1B_IW_GRDH_1SDV_20190905T102125_20190905T102150_017901_021B05_1CB4","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17901","25","621","2019-09-05T10:21:50.000000","2019-09-05T10:21:25.000000","GRD_HD","2019-09-05T10:21:25.000000","2019-09-05T10:21:50.000000","-8.8679","-71.1413","-8.368107","-69.836929","-7.856837","-72.106819","-9.877893","-70.171745","-9.361269","-72.449677","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20190905T102125_20190905T102150_017901_021B05_1CB4.zip","1026.7930393218994","None","None","0","S1B_IWDV_0621_0626_017901_025",""
