"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle"
"S1A_IW_GRDH_1SDV_20201031T091633_20201031T091658_035038_04166F_684E","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","35038","141","623","2020-10-31T09:16:58.000000","2020-10-31T09:16:33.000000","GRD_HD","2020-10-31T09:16:33.000000","2020-10-31T09:16:58.000000","-9.3565","-54.7965","-8.862103","-53.469482","-8.340075","-55.781879","-10.371572","-53.806664","-9.844046","-56.12772","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20201031T091633_20201031T091658_035038_04166F_684E.zip","1011.4484043121338","None","None","0","S1A_IWDV_0622_0628_035038_141",""
"S1A_IW_GRDH_1SDV_20201031T091608_20201031T091633_035038_04166F_D1D5","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","35038","141","618","2020-10-31T09:16:33.000000","2020-10-31T09:16:08.000000","GRD_HD","2020-10-31T09:16:08.000000","2020-10-31T09:16:33.000000","-7.8494","-54.4561","-7.352424","-53.134743","-6.835948","-55.439224","-8.862014","-53.46946","-8.340188","-55.780975","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20201031T091608_20201031T091633_035038_04166F_D1D5.zip","1027.9418125152588","None","None","0","S1A_IWDV_0617_0623_035038_141",""
"S1A_IW_GRDH_1SDV_20201031T091543_20201031T091608_035038_04166F_1EA0","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","35038","141","613","2020-10-31T09:16:08.000000","2020-10-31T09:15:43.000000","GRD_HD","2020-10-31T09:15:43.000000","2020-10-31T09:16:08.000000","-6.3416","-54.1206","-5.841752","-52.805874","-5.330663","-55.10405","-7.352334","-53.134724","-6.836039","-55.438408","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20201031T091543_20201031T091608_035038_04166F_1EA0.zip","1030.961612701416","None","None","0","S1A_IWDV_0612_0618_035038_141",""
"S1A_IW_GRDH_1SDV_20201031T091518_20201031T091543_035038_04166F_4238","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","35038","141","608","2020-10-31T09:15:43.000000","2020-10-31T09:15:18.000000","GRD_HD","2020-10-31T09:15:18.000000","2020-10-31T09:15:43.000000","-4.8331","-53.7901","-4.330734","-52.479473","-3.824916","-54.772839","-5.841662","-52.805855","-5.330771","-55.103149","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20201031T091518_20201031T091543_035038_04166F_4238.zip","1027.1588077545166","None","None","0","S1A_IWDV_0607_0613_035038_141",""
"S1A_IW_GRDH_1SDV_20201031T091453_20201031T091518_035038_04166F_300F","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","35038","141","603","2020-10-31T09:15:18.000000","2020-10-31T09:14:53.000000","GRD_HD","2020-10-31T09:14:53.000000","2020-10-31T09:15:18.000000","-3.3242","-53.4634","-2.819334","-52.156483","-2.318605","-54.446842","-4.330645","-52.47945","-3.824964","-54.772205","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20201031T091453_20201031T091518_035038_04166F_300F.zip","1024.231650352478","None","None","0","S1A_IWDV_0602_0608_035038_141",""
"S1A_IW_GRDH_1SDV_20201031T091428_20201031T091453_035038_04166F_9927","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","35038","141","598","2020-10-31T09:14:53.000000","2020-10-31T09:14:28.000000","GRD_HD","2020-10-31T09:14:28.000000","2020-10-31T09:14:53.000000","-1.8148","-53.1404","-1.307518","-51.83614","-0.811781","-54.124947","-2.819244","-52.156464","-2.31867","-54.446117","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20201031T091428_20201031T091453_035038_04166F_9927.zip","1012.1042938232422","None","None","0","S1A_IWDV_0597_0603_035038_141",""
"S1A_IW_GRDH_1SDV_20201031T091403_20201031T091428_035038_04166F_16BC","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","35038","141","593","2020-10-31T09:14:28.000000","2020-10-31T09:14:03.000000","GRD_HD","2020-10-31T09:14:03.000000","2020-10-31T09:14:28.000000","-0.305","-52.821","0.20452","-51.518372","0.695414","-53.807335","-1.307428","-51.836121","-0.811805","-54.124401","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20201031T091403_20201031T091428_035038_04166F_16BC.zip","1029.5665140151978","None","None","0","S1A_IWDV_0592_0598_035038_141",""
"S1A_IW_GRDH_1SDV_20201031T091338_20201031T091403_035038_04166F_FEB0","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","35038","141","588","2020-10-31T09:14:03.000000","2020-10-31T09:13:38.000000","GRD_HD","2020-10-31T09:13:38.000000","2020-10-31T09:14:03.000000","1.2052","-52.5052","1.717009","-51.20377","2.203154","-53.494404","0.204609","-51.518353","0.69539","-53.806789","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20201031T091338_20201031T091403_035038_04166F_FEB0.zip","1034.1159629821777","None","None","0","S1A_IWDV_0587_0593_035038_141",""
"S1A_IW_GRDH_1SDV_20201029T093244_20201029T093309_035009_041576_4C01","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","35009","112","619","2020-10-29T09:33:09.000000","2020-10-29T09:32:44.000000","GRD_HD","2020-10-29T09:32:44.000000","2020-10-29T09:33:09.000000","-8.3574","-58.6701","-7.858847","-57.357483","-7.345821","-59.641243","-9.367971","-57.695198","-8.849619","-59.986385","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20201029T093244_20201029T093309_035009_041576_4C01.zip","1021.2151050567627","None","None","0","S1A_IWDV_0619_0625_035009_112",""
"S1A_IW_GRDH_1SDV_20201029T093219_20201029T093244_035009_041576_16B4","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","35009","112","614","2020-10-29T09:32:44.000000","2020-10-29T09:32:19.000000","GRD_HD","2020-10-29T09:32:19.000000","2020-10-29T09:32:44.000000","-6.85","-58.332","-6.348447","-57.026917","-5.84083","-59.303722","-7.858757","-57.35746","-7.345953","-59.640251","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20201029T093219_20201029T093244_035009_041576_16B4.zip","1020.2351264953613","None","None","0","S1A_IWDV_0614_0620_035009_112",""
