"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle"
"S1B_IW_GRDH_1SDV_20171230T103746_20171230T103811_008947_00FF6C_B903","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","8947","171","622","2017-12-30T10:38:11.000000","2017-12-30T10:37:46.000000","GRD_HD","2017-12-30T10:37:46.000000","2017-12-30T10:38:11.000000","-9.2851","-75.3327","-8.787771","-74.018402","-8.272271","-76.303436","-10.296721","-74.357704","-9.775806","-76.651176","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20171230T103746_20171230T103811_008947_00FF6C_B903.zip","1058.6465015411377","None","None","0","S1B_IWDV_0622_0627_008947_171",""
"S1B_IW_GRDH_1SDV_20171230T103721_20171230T103746_008947_00FF6C_354E","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","8947","171","617","2017-12-30T10:37:46.000000","2017-12-30T10:37:21.000000","GRD_HD","2017-12-30T10:37:21.000000","2017-12-30T10:37:46.000000","-7.7777","-74.9935","-7.277046","-73.688126","-6.767007","-75.965294","-8.787682","-74.018379","-8.272384","-76.302528","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20171230T103721_20171230T103746_008947_00FF6C_354E.zip","1044.3060808181763","None","None","0","S1B_IWDV_0617_0622_008947_171",""
"S1B_IW_GRDH_1SDV_20171225T102957_20171225T103022_008874_00FD12_981C","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","8874","98","627","2017-12-25T10:30:22.000000","2017-12-25T10:29:57.000000","GRD_HD","2017-12-25T10:29:57.000000","2017-12-25T10:30:22.000000","-10.7845","-73.6286","-10.288758","-72.31266","-9.771393","-74.590187","-11.795799","-72.661827","-11.272866","-74.949211","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20171225T102957_20171225T103022_008874_00FD12_981C.zip","1055.4866571426392","None","None","0","S1B_IWDV_0627_0632_008874_098",""
"S1B_IW_GRDH_1SDV_20171225T102932_20171225T102957_008874_00FD12_90C5","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","8874","98","622","2017-12-25T10:29:57.000000","2017-12-25T10:29:32.000000","GRD_HD","2017-12-25T10:29:32.000000","2017-12-25T10:29:57.000000","-9.2788","-73.28","-8.779436","-71.974823","-8.267673","-74.242966","-10.288669","-72.312645","-9.771529","-74.589188","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20171225T102932_20171225T102957_008874_00FD12_90C5.zip","1032.1192798614502","None","None","0","S1B_IWDV_0622_0627_008874_098",""
"S1B_IW_GRDH_1SDV_20171225T102907_20171225T102932_008874_00FD12_462B","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","8874","98","617","2017-12-25T10:29:32.000000","2017-12-25T10:29:07.000000","GRD_HD","2017-12-25T10:29:07.000000","2017-12-25T10:29:32.000000","-7.7715","-72.9405","-7.269219","-71.642502","-6.762884","-73.902885","-8.779347","-71.974808","-8.267786","-74.242065","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20171225T102907_20171225T102932_008874_00FD12_462B.zip","1033.1734294891357","None","None","0","S1B_IWDV_0617_0622_008874_098",""
"S1B_IW_GRDH_1SDV_20171220T102202_20171220T102227_008801_00FAB5_7284","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","8801","25","631","2017-12-20T10:22:27.000000","2017-12-20T10:22:02.000000","GRD_HD","2017-12-20T10:22:02.000000","2017-12-20T10:22:27.000000","-11.8806","-71.8332","-11.386755","-70.51239","-10.866645","-72.791443","-12.892397","-70.869019","-12.3666","-73.15892","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20171220T102202_20171220T102227_008801_00FAB5_7284.zip","1053.1342849731445","None","None","0","S1B_IWDV_0631_0636_008801_025",""
"S1B_IW_GRDH_1SDV_20171220T102137_20171220T102202_008801_00FAB5_FAC7","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","8801","25","626","2017-12-20T10:22:02.000000","2017-12-20T10:21:37.000000","GRD_HD","2017-12-20T10:21:37.000000","2017-12-20T10:22:02.000000","-10.3758","-71.4787","-9.877824","-70.1716","-9.363444","-72.440056","-11.386665","-70.512367","-10.866804","-72.790352","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20171220T102137_20171220T102202_008801_00FAB5_FAC7.zip","1044.1452255249023","None","None","0","S1B_IWDV_0626_0631_008801_025",""
"S1B_IW_GRDH_1SDV_20171220T102112_20171220T102137_008801_00FAB5_853C","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","8801","25","621","2017-12-20T10:21:37.000000","2017-12-20T10:21:12.000000","GRD_HD","2017-12-20T10:21:12.000000","2017-12-20T10:21:37.000000","-8.8689","-71.1359","-8.367917","-69.836761","-7.859089","-72.09623","-9.877734","-70.171577","-9.363581","-72.439056","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20171220T102112_20171220T102137_008801_00FAB5_853C.zip","1039.9947776794434","None","None","0","S1B_IWDV_0621_0626_008801_025",""
"S1B_IW_GRDH_1SDV_20171218T103746_20171218T103811_008772_00F9D3_4C57","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","8772","171","622","2017-12-18T10:38:11.000000","2017-12-18T10:37:46.000000","GRD_HD","2017-12-18T10:37:46.000000","2017-12-18T10:38:11.000000","-9.2852","-75.3328","-8.787793","-74.018448","-8.272311","-76.303482","-10.296745","-74.357735","-9.77585","-76.651207","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20171218T103746_20171218T103811_008772_00F9D3_4C57.zip","1053.9666223526","None","None","0","S1B_IWDV_0622_0627_008772_171",""
"S1B_IW_GRDH_1SDV_20171218T103721_20171218T103746_008772_00F9D3_9CDE","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","8772","171","617","2017-12-18T10:37:46.000000","2017-12-18T10:37:21.000000","GRD_HD","2017-12-18T10:37:21.000000","2017-12-18T10:37:46.000000","-7.7777","-74.9936","-7.277068","-73.688179","-6.767047","-75.965355","-8.787704","-74.018425","-8.272425","-76.302582","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20171218T103721_20171218T103746_008772_00F9D3_9CDE.zip","1040.4961891174316","None","None","0","S1B_IWDV_0617_0622_008772_171",""
