"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle"
"S1B_IW_GRDH_1SDV_20200928T103018_20200928T103043_023574_02CCA7_442E","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","23574","98","627","2020-09-28T10:30:43.000000","2020-09-28T10:30:18.000000","GRD_HD","2020-09-28T10:30:18.000000","2020-09-28T10:30:43.000000","-10.7833","-73.6338","-10.289029","-72.311661","-9.768813","-74.601616","-11.796061","-72.660789","-11.27024","-74.960663","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200928T103018_20200928T103043_023574_02CCA7_442E.zip","1046.1455383300781","None","None","0","S1B_IWDV_0627_0633_023574_098",""
"S1B_IW_GRDH_1SDV_20200928T102953_20200928T103018_023574_02CCA7_E764","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","23574","98","622","2020-09-28T10:30:18.000000","2020-09-28T10:29:53.000000","GRD_HD","2020-09-28T10:29:53.000000","2020-09-28T10:30:18.000000","-9.2777","-73.2852","-8.779714","-71.973862","-8.265134","-74.254395","-10.288939","-72.311646","-9.768949","-74.600616","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200928T102953_20200928T103018_023574_02CCA7_E764.zip","1026.4927110671997","None","None","0","S1B_IWDV_0622_0628_023574_098",""
"S1B_IW_GRDH_1SDV_20200928T102928_20200928T102953_023574_02CCA7_BFE5","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","23574","98","617","2020-09-28T10:29:53.000000","2020-09-28T10:29:28.000000","GRD_HD","2020-09-28T10:29:28.000000","2020-09-28T10:29:53.000000","-7.7704","-72.9458","-7.269503","-71.641579","-6.760386","-73.914314","-8.779624","-71.973846","-8.265247","-74.253494","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200928T102928_20200928T102953_023574_02CCA7_BFE5.zip","1024.7660245895386","None","None","0","S1B_IWDV_0617_0623_023574_098",""
"S1B_IW_GRDH_1SDV_20200923T102222_20200923T102247_023501_02CA41_D6DD","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","23501","25","631","2020-09-23T10:22:47.000000","2020-09-23T10:22:22.000000","GRD_HD","2020-09-23T10:22:22.000000","2020-09-23T10:22:47.000000","-11.8794","-71.839","-11.386923","-70.512604","-10.864191","-72.802689","-12.892534","-70.869354","-12.364084","-73.170319","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200923T102222_20200923T102247_023501_02CA41_D6DD.zip","1043.001714706421","None","None","0","S1B_IWDV_0630_0637_023501_025",""
"S1B_IW_GRDH_1SDV_20200923T102157_20200923T102222_023501_02CA41_7914","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","23501","25","626","2020-09-23T10:22:22.000000","2020-09-23T10:21:57.000000","GRD_HD","2020-09-23T10:21:57.000000","2020-09-23T10:22:22.000000","-10.3747","-71.4845","-9.877996","-70.171806","-9.361007","-72.451332","-11.386832","-70.512589","-10.864329","-72.801689","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200923T102157_20200923T102222_023501_02CA41_7914.zip","1025.4541339874268","None","None","0","S1B_IWDV_0625_0632_023501_025",""
"S1B_IW_GRDH_1SDV_20200923T102132_20200923T102157_023501_02CA41_3B6B","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","23501","25","621","2020-09-23T10:21:57.000000","2020-09-23T10:21:32.000000","GRD_HD","2020-09-23T10:21:32.000000","2020-09-23T10:21:57.000000","-8.8678","-71.1417","-8.368093","-69.83696","-7.856666","-72.107559","-9.877907","-70.171783","-9.361122","-72.450424","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200923T102132_20200923T102157_023501_02CA41_3B6B.zip","1028.7678718566895","None","None","0","S1B_IWDV_0620_0627_023501_025",""
"S1B_IW_GRDH_1SDV_20200921T103807_20200921T103832_023472_02C969_5865","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","23472","171","622","2020-09-21T10:38:32.000000","2020-09-21T10:38:07.000000","GRD_HD","2020-09-21T10:38:07.000000","2020-09-21T10:38:32.000000","-9.2852","-75.3328","-8.787919","-74.018318","-8.272333","-76.303612","-10.296778","-74.357582","-9.775777","-76.651314","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200921T103807_20200921T103832_023472_02C969_5865.zip","1043.7117738723755","None","None","0","S1B_IWDV_0622_0628_023472_171",""
"S1B_IW_GRDH_1SDV_20200921T103742_20200921T103807_023472_02C969_6744","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","23472","171","617","2020-09-21T10:38:07.000000","2020-09-21T10:37:42.000000","GRD_HD","2020-09-21T10:37:42.000000","2020-09-21T10:38:07.000000","-7.7778","-74.9936","-7.277196","-73.688057","-6.767071","-75.965485","-8.787829","-74.018295","-8.272446","-76.302704","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200921T103742_20200921T103807_023472_02C969_6744.zip","1038.7999229431152","None","None","0","S1B_IWDV_0617_0623_023472_171",""
"S1B_IW_GRDH_1SDV_20200916T103018_20200916T103043_023399_02C72C_E80B","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","23399","98","627","2020-09-16T10:30:43.000000","2020-09-16T10:30:18.000000","GRD_HD","2020-09-16T10:30:18.000000","2020-09-16T10:30:43.000000","-10.7834","-73.6337","-10.289117","-72.311523","-9.768899","-74.601578","-11.796152","-72.660629","-11.27033","-74.960594","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200916T103018_20200916T103043_023399_02C72C_E80B.zip","1051.6596269607544","None","None","0","S1B_IWDV_0627_0633_023399_098",""
"S1B_IW_GRDH_1SDV_20200916T102953_20200916T103018_023399_02C72C_2692","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","23399","98","622","2020-09-16T10:30:18.000000","2020-09-16T10:29:53.000000","GRD_HD","2020-09-16T10:29:53.000000","2020-09-16T10:30:18.000000","-9.2777","-73.2851","-8.779798","-71.973747","-8.265217","-74.254372","-10.289026","-72.311508","-9.769035","-74.600578","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200916T102953_20200916T103018_023399_02C72C_2692.zip","1032.7934980392456","None","None","0","S1B_IWDV_0622_0628_023399_098",""
