Granule Name,Platform,Sensor,Beam Mode,Beam Mode Description,Orbit,Path Number,Frame Number,Acquisition Date,Processing Date,Processing Level,Start Time,End Time,Center Lat,Center Lon,Near Start Lat,Near Start Lon,Far Start Lat,Far Start Lon,Near End Lat,Near End Lon,Far End Lat,Far End Lon,Faraday Rotation,Ascending or Descending?,URL,Size (MB),Off Nadir Angle,Stack Size,Baseline Perp.,Doppler,GroupID
S1A_S3_GRDH_1SDV_20150104T102922_20150104T102945_004020_004D80_BDBE,Sentinel-1A,C-SAR,S3,"Sentinel-1: Strip Map 3, 80 km swath with a spatial resolution of 5 m x 5 m.",4020,98,616,2015-01-04T10:29:45.000000,2015-01-04T10:29:22.000000,GRD_HD,2015-01-04T10:29:22.000000,2015-01-04T10:29:45.000000,-7.4199,-71.8616,-6.783187,-71.347549,-6.625006,-72.062202,-8.215061,-71.660484,-8.05563,-72.377151,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_S3_GRDH_1SDV_20150104T102922_20150104T102945_004020_004D80_BDBE.zip,221.78252792358398,None,None,None,0,S1A_S3DV_0616_0620_004020_098
S1A_S1_GRDH_1SDV_20150116T102921_20150116T102945_004195_00517C_91D2,Sentinel-1A,C-SAR,S1,"Sentinel-1: Strip Map 1, 80 km swath with a spatial resolution of 5 m x 5 m.",4195,98,616,2015-01-16T10:29:45.000000,2015-01-16T10:29:21.000000,GRD_HD,2015-01-16T10:29:21.000000,2015-01-16T10:29:45.000000,-7.6606,-70.7935,-7.012358,-70.276512,-6.854537,-70.99724599999999,-8.466664999999999,-70.589027,-8.307905,-71.311989,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_S1_GRDH_1SDV_20150116T102921_20150116T102945_004195_00517C_91D2.zip,508.90437030792236,None,None,None,0,S1A_S1DV_0616_0620_004195_098
S1A_S3_GRDH_1SDV_20150221T102920_20150221T102944_004720_005D66_BEE6,Sentinel-1A,C-SAR,S3,"Sentinel-1: Strip Map 3, 80 km swath with a spatial resolution of 5 m x 5 m.",4720,98,616,2015-02-21T10:29:44.000000,2015-02-21T10:29:20.000000,GRD_HD,2015-02-21T10:29:20.000000,2015-02-21T10:29:44.000000,-7.4203,-71.8617,-6.783353999999999,-71.347603,-6.625185000000001,-72.062172,-8.215586,-71.660629,-8.056166000000001,-72.377205,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_S3_GRDH_1SDV_20150221T102920_20150221T102944_004720_005D66_BEE6.zip,223.5338230133057,None,None,None,0,S1A_S3DV_0616_0620_004720_098
S1A_IW_GRDH_1SDV_20150228T102148_20150228T102213_004822_005FF9_1592,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",4822,25,624,2015-02-28T10:22:13.000000,2015-02-28T10:21:48.000000,GRD_HD,2015-02-28T10:21:48.000000,2015-02-28T10:22:13.000000,-9.7184,-71.3264,-9.221025,-70.014336,-8.705272,-72.29540300000001,-10.730182000000001,-70.352829,-10.208978,-72.642815,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20150228T102148_20150228T102213_004822_005FF9_1592.zip,1043.0019407272341,None,None,None,0,S1A_IWDV_0624_0629_004822_025
S1A_S1_GRDH_1SDV_20150305T102920_20150305T102944_004895_0061A8_1A4C,Sentinel-1A,C-SAR,S1,"Sentinel-1: Strip Map 1, 80 km swath with a spatial resolution of 5 m x 5 m.",4895,98,616,2015-03-05T10:29:44.000000,2015-03-05T10:29:20.000000,GRD_HD,2015-03-05T10:29:20.000000,2015-03-05T10:29:44.000000,-7.6604,-70.7941,-7.012204,-70.277191,-6.854413,-70.997833,-8.466516,-70.589676,-8.307786,-71.31255300000001,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_S1_GRDH_1SDV_20150305T102920_20150305T102944_004895_0061A8_1A4C.zip,251.3256425857544,None,None,None,0,S1A_S1DV_0616_0620_004895_098
S1A_S3_GRDH_1SDV_20150410T102921_20150410T102945_005420_006E60_5850,Sentinel-1A,C-SAR,S3,"Sentinel-1: Strip Map 3, 80 km swath with a spatial resolution of 5 m x 5 m.",5420,98,616,2015-04-10T10:29:45.000000,2015-04-10T10:29:21.000000,GRD_HD,2015-04-10T10:29:21.000000,2015-04-10T10:29:45.000000,-7.4193,-71.8599,-6.782624,-71.345863,-6.624449,-72.060425,-8.214315,-71.658775,-8.054891,-72.375351,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_S3_GRDH_1SDV_20150410T102921_20150410T102945_005420_006E60_5850.zip,223.96020698547363,None,None,None,0,S1A_S3DV_0616_0620_005420_098
S1A_IW_GRDH_1SDV_20150511T102134_20150511T102159_005872_0078FB_35B2,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",5872,25,621,2015-05-11T10:21:59.000000,2015-05-11T10:21:34.000000,GRD_HD,2015-05-11T10:21:34.000000,2015-05-11T10:21:59.000000,-8.7283,-71.1003,-8.228353,-69.795715,-7.717287,-72.066551,-9.738281,-70.130112,-9.221881,-72.408836,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20150511T102134_20150511T102159_005872_0078FB_35B2.zip,1061.2854061126711,None,None,None,0,S1A_IWDV_0621_0626_005872_025
S1A_IW_GRDH_1SDV_20150511T102159_20150511T102224_005872_0078FB_78F0,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",5872,25,626,2015-05-11T10:22:24.000000,2015-05-11T10:21:59.000000,GRD_HD,2015-05-11T10:21:59.000000,2015-05-11T10:22:24.000000,-10.2353,-71.4426,-9.738371,-70.130135,-9.221745,-72.409836,-11.247236000000001,-70.470421,-10.725118,-72.759567,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20150511T102159_20150511T102224_005872_0078FB_78F0.zip,1065.116474151611,None,None,None,0,S1A_IWDV_0626_0631_005872_025
S1A_IW_GRDH_1SDV_20150511T102224_20150511T102249_005872_0078FB_0DB8,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",5872,25,631,2015-05-11T10:22:49.000000,2015-05-11T10:22:24.000000,GRD_HD,2015-05-11T10:22:24.000000,2015-05-11T10:22:49.000000,-11.7398,-71.7975,-11.247325,-70.470444,-10.724958,-72.76065799999999,-12.752675,-70.82839200000001,-12.22456,-73.129509,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20150511T102224_20150511T102249_005872_0078FB_0DB8.zip,1072.2398147583008,None,None,None,0,S1A_IWDV_0631_0636_005872_025
S1A_IW_GRDH_1SDV_20150516T102932_20150516T102957_005945_007A91_771D,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",5945,98,617,2015-05-16T10:29:57.000000,2015-05-16T10:29:32.000000,GRD_HD,2015-05-16T10:29:32.000000,2015-05-16T10:29:57.000000,-7.7643,-72.9392,-7.262535000000001,-71.639214,-6.7553160000000005,-73.90370899999999,-8.772642999999999,-71.971428,-8.260187,-74.242813,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20150516T102932_20150516T102957_005945_007A91_771D.zip,1057.2666358947754,None,None,None,0,S1A_IWDV_0617_0622_005945_098
