Granule Name,Platform,Sensor,Beam Mode,Beam Mode Description,Orbit,Path Number,Frame Number,Acquisition Date,Processing Date,Processing Level,Start Time,End Time,Center Lat,Center Lon,Near Start Lat,Near Start Lon,Far Start Lat,Far Start Lon,Near End Lat,Near End Lon,Far End Lat,Far End Lon,Faraday Rotation,Ascending or Descending?,URL,Size (MB),Off Nadir Angle,Stack Size,Baseline Perp.,Doppler,GroupID
S1B_IW_GRDH_1SDV_20161213T102131_20161213T102156_003376_005C3E_20FB,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",3376,25,626,2016-12-13T10:21:56.000000,2016-12-13T10:21:31.000000,GRD_HD,2016-12-13T10:21:31.000000,2016-12-13T10:21:56.000000,-10.3759,-71.4786,-9.877908,-70.171516,-9.363536,-72.439972,-11.386749,-70.512283,-10.866896,-72.79026800000001,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20161213T102131_20161213T102156_003376_005C3E_20FB.zip,1044.6032218933103,None,None,None,0,S1B_IWDV_0626_0631_003376_025
S1B_IW_GRDH_1SDV_20161213T102156_20161213T102221_003376_005C3E_A847,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",3376,25,631,2016-12-13T10:22:21.000000,2016-12-13T10:21:56.000000,GRD_HD,2016-12-13T10:21:56.000000,2016-12-13T10:22:21.000000,-11.8806,-71.8331,-11.386839,-70.512299,-10.866736,-72.791359,-12.892481,-70.868927,-12.366692,-73.158829,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20161213T102156_20161213T102221_003376_005C3E_A847.zip,1052.9009704589844,None,None,None,0,S1B_IWDV_0631_0636_003376_025
S1B_IW_GRDH_1SDV_20161218T102902_20161218T102927_003449_005E46_9ECB,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",3449,98,617,2016-12-18T10:29:27.000000,2016-12-18T10:29:02.000000,GRD_HD,2016-12-18T10:29:02.000000,2016-12-18T10:29:27.000000,-7.7715,-72.9408,-7.26927,-71.642746,-6.762946,-73.903137,-8.779397,-71.975052,-8.267846,-74.24231,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20161218T102902_20161218T102927_003449_005E46_9ECB.zip,1037.5654497146606,None,None,None,0,S1B_IWDV_0617_0622_003449_098
S1B_IW_GRDH_1SDV_20161218T102927_20161218T102952_003449_005E46_B1F9,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",3449,98,622,2016-12-18T10:29:52.000000,2016-12-18T10:29:27.000000,GRD_HD,2016-12-18T10:29:27.000000,2016-12-18T10:29:52.000000,-9.2788,-73.2802,-8.779487,-71.97506700000001,-8.267733,-74.243217,-10.28872,-72.312881,-9.771591,-74.58943199999999,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20161218T102927_20161218T102952_003449_005E46_B1F9.zip,1036.0287475585938,None,None,None,0,S1B_IWDV_0622_0627_003449_098
S1B_IW_GRDH_1SDV_20161218T102952_20161218T103017_003449_005E46_0A49,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",3449,98,627,2016-12-18T10:30:17.000000,2016-12-18T10:29:52.000000,GRD_HD,2016-12-18T10:29:52.000000,2016-12-18T10:30:17.000000,-10.7845,-73.6289,-10.28881,-72.312904,-9.771455,-74.59043100000001,-11.795845,-72.662086,-11.272922,-74.949471,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20161218T102952_20161218T103017_003449_005E46_0A49.zip,1053.2848024368286,None,None,None,0,S1B_IWDV_0627_0632_003449_098
S1B_IW_GRDH_1SDV_20161223T103711_20161223T103736_003522_00605B_B687,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",3522,171,616,2016-12-23T10:37:36.000000,2016-12-23T10:37:11.000000,GRD_HD,2016-12-23T10:37:11.000000,2016-12-23T10:37:36.000000,-7.494,-74.9343,-6.991343,-73.637039,-6.485621,-75.897888,-8.501835,-73.967445,-7.990911,-76.23492399999999,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20161223T103711_20161223T103736_003522_00605B_B687.zip,1047.6121625900266,None,None,None,0,S1B_IWDV_0616_0621_003522_171
S1B_IW_GRDH_1SDV_20161223T103736_20161223T103801_003522_00605B_4DBB,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",3522,171,621,2016-12-23T10:38:01.000000,2016-12-23T10:37:36.000000,GRD_HD,2016-12-23T10:37:36.000000,2016-12-23T10:38:01.000000,-9.0013,-75.2736,-8.501925,-73.96746800000001,-7.990799000000001,-76.235825,-10.010666,-74.30719,-9.494187,-76.583603,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20161223T103736_20161223T103801_003522_00605B_4DBB.zip,1057.6917142868042,None,None,None,0,S1B_IWDV_0621_0626_003522_171
S1B_IW_GRDH_1SDV_20170106T102129_20170106T102154_003726_00666D_6C00,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",3726,25,626,2017-01-06T10:21:54.000000,2017-01-06T10:21:29.000000,GRD_HD,2017-01-06T10:21:29.000000,2017-01-06T10:21:54.000000,-10.3757,-71.4788,-9.877717,-70.171684,-9.363278,-72.440117,-11.386553,-70.512489,-10.866632000000001,-72.790459,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20170106T102129_20170106T102154_003726_00666D_6C00.zip,1045.6941719055176,None,None,None,0,S1B_IWDV_0626_0631_003726_025
S1B_IW_GRDH_1SDV_20170106T102154_20170106T102219_003726_00666D_2A08,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",3726,25,631,2017-01-06T10:22:19.000000,2017-01-06T10:21:54.000000,GRD_HD,2017-01-06T10:21:54.000000,2017-01-06T10:22:19.000000,-11.8804,-71.8334,-11.386642,-70.512512,-10.866474,-72.79155,-12.892256,-70.869286,-12.366401,-73.159157,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20170106T102154_20170106T102219_003726_00666D_2A08.zip,1057.8541488647459,None,None,None,0,S1B_IWDV_0631_0636_003726_025
S1B_IW_GRDH_1SDV_20170111T102900_20170111T102925_003799_00687E_CD5F,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",3799,98,617,2017-01-11T10:29:25.000000,2017-01-11T10:29:00.000000,GRD_HD,2017-01-11T10:29:00.000000,2017-01-11T10:29:25.000000,-7.7716,-72.9403,-7.2693449999999995,-71.642258,-6.763062,-73.90265699999999,-8.779477,-71.974525,-8.267967,-74.241798,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20170111T102900_20170111T102925_003799_00687E_CD5F.zip,1039.4419021606443,None,None,None,0,S1B_IWDV_0617_0622_003799_098
